,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,47700.0,15300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,27300.0,0.0,47000.0,27500.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,79200.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0
D,0.0,0.0,17000.0,0.0,0.0,0.0,10500.0,25200.0,54000.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,59899.99999999999,79300.0,15900.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,16900.0,0.0,0.0,0.0,58700.0,20800.0,28899.999999999996,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,31100.000000000004,40000.0,0.0,46300.0,31100.000000000004,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33600.0,38900.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125400.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15900.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32300.000000000004,41700.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41700.0,0.0,68300.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27600.0,0.0
